Table No.18 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING JANUARY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
30,COSLIGHT INDIA TELECOM PVT LTD,China,Harbin colight storage Battery CO LTD,NEW DELHI,"MANUFACTURE OF ACCUMULATORS, PRIMARY CELLS & PRIMARY BATTERIES",53.81,0.86,
31,BAOSTEEL INDIA COMPANY P LTD,China,SHANGHAI BAOSTEEL INTERNATIONAL ECONOMIC,MUMBAI,Manufacture of other basic iron and steel n.e.c,183.36,2.95,
32,ORIENTAL COMMERCE & TRADING COMPANY PVT,China,Zhang Tiantian / Cao Juanjuan,MUMBAI,"Wholesale of paper and other stationery items; books, magazines and newspapers",0.08,0.00,
33,ORIENTAL COMMERCE & TRADING COMPANY PVT,China,Yuan Yunsu,MUMBAI,"Wholesale of paper and other stationery items; books, magazines and newspapers",0.03,0.00,
34,EVER ELECTRONICS PVT LTD,China,VISION CREATIVE LTD,NEW DELHI,"Manufacture of integrated circuits (analog, digital or hybrid)",9.38,0.15,
35,GENERAL MOTORS INDIA PVT LTD,China,SAIC GENERAL MOTORS INVESTMENT LTD,AHMEDABAD,Manufacture of passenger cars,"7,368.54",118.42,
36,GENERAL MOTORS INDIA PVT LTD,China,SAIC GENERAL MOTORS INVESTMENT LTD,AHMEDABAD,Manufacture of passenger cars,"2,165.05",34.79,
37,ZETOR INDIA PRIVATE LTD,Czech Republic,ZETOR TRACTORS A.S.,CHANDIGARH`,Manufacture of tractors used in agriculture and forestry,3.69,0.06,
38,MATTHEWS INDUSTRIAL EQUIPMENTS TRADING P,Cyprus,Terra Marna Holding & Invest ltd,KOLKATA,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles",2.30,0.04,
39,MATTHEWS INDUSTRIAL EQUIPMENTS TRADING P,Cyprus,Terra Marna holding & Invest Ltd,KOLKATA,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles",2.51,0.04,
40,Indian School Finance Coy Pvt Ltd,Cyprus,Blayfort Limited,HYDERABAD,Financial leasing,70.30,1.13,
41,HIMALAYAN CREST POWER PVT LTD,Cyprus,FOCAL ENERGY HOLDINGS LTD,CHANDIGARH`,Electric power generation by hydroelectric power plants,0.40,0.01,
42,MAGNA CLOSURES AUTOMOTIVE PVT LTD,Cyprus,MAGNA CYPRUS HOLDING LIMITED,CHENNAI,"Manufacture of motor vehicle electrical equipment, such as",193.23,3.11,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,"generators, alternators, spark plugs, ignition",,,
43,AROGITA TECHNOLOGIES PVT LTD.,Cyprus,INVENTIAC PRIVATE LIMITED,CHENNAI,"Wholesale of scientific, medical and surgical machinery and equipment",1.71,0.03,
44,SL PLOTTED DEVELOPMENT PROJECTS PRIVATE,Cyprus,GREENBERRY LIMITED,BANGALORE,Real estate activities with own or leased property,3.24,0.05,
45,SL PLOTTED DEVELOPMENT PROJECTS PRIVATE,Cyprus,GREENBERRY LIMITED,BANGALORE,Real estate activities with own or leased property,291.73,4.69,
46,REDFORT SHAJAHAN PROPERTIES PRIVATE LIMI,Cyprus,Ti- Themba Investments Ltd.,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,10.77,0.17,
47,REDFORT SHAJAHAN PROPERTIES PRIVATE LIMI,Cyprus,Ti- Themba,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,13.08,0.21,
48,HMS REAL ESTATE PVT. LTD.,Cyprus,EMANSAR LTD,NEW DELHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,69.22,1.11,
49,FOCAL ENERGY SOLAR THREE INDIA PRIVATE L,Cyprus,focal Energy  Solar Three limited,NEW DELHI,Electric power generation using solar energy,0.08,0.00,
50,FOCAL ENERGY SOLAR THREE INDIA PRIVATE L,Cyprus,Focal Energy Projects Limited,NEW DELHI,Electric power generation using solar energy,0.02,0.00,
51,BHALAKH REALTORS PVT LTD,Cyprus,JARVINIA (CYPRUS) LTD,CHENNAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,30.08,0.48,
52,BHALAKH REALTORS PVT LTD,Cyprus,JARVINIA (CYPRUS) LIMITED,CHENNAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,3.17,0.05,
53,BHALAKH REALTORS PVT LTD,Cyprus,JARVINIA (CYPRUS) LTD,CHENNAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,3.09,0.05,
54,BHALAKH REALTORS PVT LTD,Cyprus,JARVINIA (CYPRUS) LTD,CHENNAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,3.11,0.05,
55,K.K.MILK FRESH INDIA LTD.,Cyprus,Chapelco Holdings Ltd. Nicosia Cyprus,KANPUR,Production of milk from cows or buffaloes,91.52,1.47,
56,CREATIVE WEBMEDIA PVT LTD,Cyprus,Rionole Holdings Limited,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,12.18,0.20,
57,REDFORT SHAJAHAN PROPERTIES PRIVATE LIMI,Cyprus,Ti- Themba Investments Ltd.,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,2.33,0.04,
58,KANAKIA RESIDENTIAL PVT LTD,Cyprus,HEIGHTLON LTD,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.00,0.00,
