Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING OCTOBER 2017 TO DECEMBER, 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Australia,AKSHAY SETHI,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.00,0.00,
2,CELIO FUTURE FASHION LTD,Belgium,Celio International S.A.,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",550.00,8.45,
3,SOMEX INDIA IMPEX PVT LTD,Belgium,SOMEX SA,MUMBAI,Other business support service activities n.e.c.,1.00,0.02,
4,BHARTI AXA GENERAL INSURANCE COMPANY LTD,France,SOCIETE BEAUJON,BANGALORE,Non-life insurance,"1,097.60",16.87,
5,"ROBERT BOSCH
AUTOMOTIVE STEERING PVT LTD",Germany,"ROBERT BOSCH
AUTOMOTIVE STEERING GMBH",MUMBAI,"Manufacture of diverse parts and
accessories for motor vehecles sucs as brakes, gearboxes, axles, road",111.00,1.71,
6,ROBERT BOSCH AUTOMOTIVE STEERING PVT LTD,Germany,ROBERT BOSCH AUTOMOTIVE STEERING GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",111.00,1.71,
7,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDA GE GESELLSCHAFT MIT BESCHRAENKTER,NEW DELHI,Publishing of journals and periodicals,23.17,0.36,
8,AXIS BANK LIMITED,HongKong,RACHIT BHATIA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.16,0.02,
9,WACOAL INDIA PVT LTD,HongKong,WACOAL INTERNATIONAL HONGKONG CO LTD,MUMBAI,"Retail sale of readymade garments,
hosiery goods, other articles of clothing and clothing accessories",51.00,0.79,
10,AMAZON RETAIL INDIA PRIVATE LIMITED,Mauritius,AMAZON.COM.INCS LTD.,NEW DELHI,"Retail sale of cereals and pulses, tea, coffee, spices and flour",0.50,0.01,
11,"PAUL HARTMANN MEDICAL PVT LTD-
Regisatrai",Netherlands,Paul Hartmann Finance BV,CHENNAI,Manufacture of other medical and dental instruments n.e.c.,7.00,0.11,
12,TOMMY HILFIGER ARVIND FASHION E/O ARVIND,Netherlands,TOMMY HILFIGER B.V.,AHMEDABAD,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",13.50,0.21,
13,TOMMY HILFIGER ARVIND FASHION E/O ARVIND,Netherlands,PVH B.V.,AHMEDABAD,"Retail sale of readymade garments,
hosiery goods, other articles of clothing and clothing accessories",61.50,0.95,
14,DIA VIKAS CAPITAL PVT LTD,Netherlands,STICHTING CORDAID,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",15.65,0.24,
15,DIA VIKAS CAPITAL PVT LTD,Netherlands,STICHTING CORDAID,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",20.18,0.31,
16,STELIS BIOPHARMA PVT LTD,Singapore,GMS PHARMA (SINGAPORE) PTE LTD,BANGALORE,Research and experimental development on natural sciences and engineering,17.73,0.27,
17,AXIS BANK LIMITED,Singapore,SACHIL DAGUR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks.
postal savings bank and discount",1.74,0.03,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,houses,,,
18,STELIS BIOPHARMA PVT LTD,Singapore,GMS PHARMA (SINGAPORE) PTE LTD,BANGALORE,"Research and experimental development on natural sciences and
engineering",164.88,2.54,
19,VERO MODA RETAIL PVT LTD,Singapore,BESTSELLER UNITED SINGAPORE PTE LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",655.66,10.11,
20,AMAZON RETAIL INDIA PRIVATE LIMITED,Singapore,AMAZON CORPORATE HOLDINGS PVT. LTD.,NEW DELHI,"Retail sale of cereals and pulses, tea, coffee, spices and flour",49.50,0.76,
21,AXIS BANK LIMITED,Singapore,SACHIL DAGUR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.16,0.02,
22,DAMRO FURNITURE PRIVATE LIMITED,Sri Lanka,DAMRO EXPORTS PVT LTD,CHENNAI,Retail sale of household furniture,33.10,0.51,
23,RELIANCE LUXURY FASHION PVT LTD,Switzerland,BALLY INTERNATIONAL AG,MUMBAI,Retail sale of footwear,36.00,0.56,
24,ICICI BANK LTD.,United Kingdom,KIRAN TALWAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",1.66,0.03,
25,ICICI BANK LTD.,United Kingdom,AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.17,0.00,
26,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,"11 INVESTORS. DATE
BETWEEN 29-08-2017 TO",AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.00,0.00,
27,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,"6 VARIOUS INVESTORS.
DATE BETWEEN 31-05-",AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.00,0.00,
28,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,"15 INVESTORS. DATE
BETWEEN 09-06-2017 TO",AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.01,0.00,
29,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,"50 INVESTORS. DATE
BETWEEN 03-07-2017 TO",AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.03,0.00,
30,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,"57 INVESTORS. DATE
BETWEEN 28-07-2017 TO",AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.03,0.00,
31,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,"18 INVESTORS. DATE
BETWEEN 10-08-2017 TO",AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.01,0.00,
32,QUINTILLION BUSINESS MEDIA PRIVATE LIMIT,U.S.A,BLOOMBERG L.P.,NEW DELHI,TELEVISION PROGRAMMING AND BROADCASTING,226.23,3.52,
