Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING OCTOBER 2017 TO DECEMBER 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),"(In US$ millio
n)",
1,ETA STAR BASHYAM PROPERTIES PVT LTD,Australia,Sita Narayanan and  N. Narayanan,CHENNAI,Construction of buildings carried out on own- account basis or on a fee or contract basis,20.45,0.32,
2,ETA STAR BASHYAM PROPERTIES PVT LTD,Australia,Sita Narayanan and  N. Narayanan,CHENNAI,"Construction of buildings carried out on own- account basis or on a fee or
contract basis",0.65,0.01,
3,ETA STAR BASHYAM PROPERTIES PVT LTD,Australia,Sita Narayanan and Mr. N. Narayanan,CHENNAI,Construction of buildings carried out on own- account basis or on a fee or contract basis,2.13,0.03,
4,FBA CONSULTING INDIA PRIVATE LIMITED,Australia,JEFFREY JOHN BENNETT,CHENNAI,"Architectural and engineering activities and related technical
consultancy",0.08,0.00,
5,FBA CONSULTING INDIA PRIVATE LIMITED,Australia,JEFFREY JOHN BENNETT,CHENNAI,"Architectural and engineering activities and related technical
consultancy",5.03,0.08,
6,SEYON INNOVATIVE ENGINEERING INDIA PRIVA,Australia,SEYON PTY LTD,CHENNAI,Computer consultancy and computer facilities management activities,1.04,0.02,
7,VLI MINING EQUIPMENT (INDIA) PVT LTD,Australia,VLI DIESEL PTY LTD,KOLKATA,"Manufacture of other machinery for mining, quarrying and construction
n.e.c.",0.00,0.00,
8,VLI MINING EQUIPMENT (INDIA) PVT LTD,Australia,VLI PTY LTD,KOLKATA,"Manufacture of other machinery for mining, quarrying and construction n.e.c.",0.10,0.00,
9,MONEYBALL INDIA PVT LTD,Australia,"Moneyball Australia Pty Limited,",MUMBAI,Publishing of computer games for all platforms,2.70,0.04,
10,FIRST IMPRESSIONS RESOURCES PVT LTD,Australia,FIRST IMPRESSIONS RESOURCES PTY LTD.,NEW DELHI,"Technical and vocational education below the level of higher education except
for handicapped",1.08,0.02,
11,SISTINE POWER PVT LTD,Australia,AMIR MOHAMED KHAWAJA,NEW DELHI,Electric power generation using solar energy,0.05,0.00,
12,SISTINE POWER PVT LTD,Australia,ANTHONY RICHARD VIPPOND,NEW DELHI,Electric power generation using solar energy,0.05,0.00,
13,FERRA AEROSPACE PVT LTD,Australia,FERRA ENGINEERING PTY LTD,BANGALORE,Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such,12.74,0.20,
14,CHROMAFLO TECHNOLOGIES INDIA PVT LTD,Australia,CHROMAFLO TECHNOLOGIES AUSTRALIA PTY LTD,MUMBAI,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels
and glazes",19.17,0.30,
15,CRISSAM DECOR PVT LTD,Australia,K.NAGULENDRAN & G. NAGULENDRAN,CHENNAI,"Interior completion such as ceilings, wooden wall coverings, movable
partitions etc. ; Laying of",1.02,0.02,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ millio n),
,,,,,parquet,,,
16,MOBIMEDIA INDIA PVT LTD,Australia,AUSTRALIAN CONTENT MANAGEMENT PTY LTD,MUMBAI,Providing software support and maintenance to the clients,0.00,0.00,
17,PAYMATE INDIA PVT LTD,Australia,IPO WEALTH HOLDINGS PTY LTD,MUMBAI,Other business support service activities n.e.c.,34.91,0.54,
18,ADAPS IT PVT LTD,Australia,Jan Persson,HYDERABAD,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",1.00,0.02,
19,ROCKWELL EDUCATIONAL INSTITUTIONS PVT LT,Australia,Infotech professional Pty Ltd,HYDERABAD,Educational support services,0.13,0.00,
20,SAASFORCE CONSULTING PVT. LTD.,Australia,AMIT CHOUDHARY,NEW DELHI,Providing software support and maintenance to the clients,0.36,0.01,
21,CROWDSTRIKE INDIA PRIVATE LIMITED,Australia,CROWDSTRIKE AUSTRALIA PTY LTD.,NEW DELHI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding
web-page",0.03,0.00,
22,DIA VIKAS CAPITAL PVT LTD,Australia,OPPORTUNITY INTERNATIONAL AUSTRALIA LTD.,NEW DELHI,"Other financial service activities, except insurance and pension funding
activities, n.e.c.",104.41,1.63,
23,SVASTH LIFE P LTD,Australia,Mark Van Weelde,CHENNAI,"Other human health activities n.e.c. (including independent ambulance
activities)",6.21,0.10,
24,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Australia,JEFFREY FERDINANDS,MUMBAI,"Computer consultancy and
computer facilities management activities",0.02,0.00,
25,TECHNOCRATS TOOLING PVT LTD,Australia,RNH GROUP PTY LTD.,NEW DELHI,Manufacture of machinery for metallurgy,1.72,0.03,
26,ECA GLOBAL EDUCATION INDIA PVT LTD,Australia,Education Centre of Australia Pte Ltd,AHMEDABAD,Higher education in other professional/ vocational courses leading to a degree or equivalent,7.59,0.12,
27,SEYON INNOVATIVE ENGINEERING INDIA PRIVA,Australia,SEYON PTY LTD,CHENNAI,Computer consultancy and computer facilities management activities,1.76,0.03,
28,APPEARITION INDIA P LTD,Australia,APPEARITION PTY LTD,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.45,0.01,
29,SUPERANNUATIONOPS PRIVATE LIMITED,Australia,SUPERCONCEPTS PTY LTD,CHENNAI,Combined office administrative service activities,0.50,0.01,
30,TGI PACKAGING PVT LTD,Australia,Ryina Chhabra,CHENNAI,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks,
containers, boxes, cases,",19.38,0.30,
31,I GLOBAL TEST LABS PRIVATE LIMITED,Australia,I Tech Global Pty Ltd,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.72,0.01,
32,I GLOBAL TEST LABS PRIVATE LIMITED,Australia,I Tech Global Pty Ltd,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a
particular client excluding",0.04,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ millio n),
,,,,,web-page,,,
33,I GLOBAL TEST LABS PRIVATE LIMITED,Australia,Kiren Sreekumar,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding
web-page",0.43,0.01,
34,NATURE'S COIR PVT LTD,Australia,M/S. NATURES SOIL PTY LTD,CHENNAI,Manufacture of cordage or rope made of coir,2.06,0.03,
35,STRANG SYSTEMS INDIA PVT LTD.,Australia,STRANG SYSTEMS PTY LTD AUSTRALIA,KOLKATA,Other retail sale in non- specialized stores,1.26,0.02,
36,TRANQUINI INDIA PRIVATE LIMITED,Australia,TRANQUINI GMBH,NEW DELHI,"Wholesale of confectionery, bakery products and beverages other than intoxicants",0.04,0.00,
37,TRANQUINI INDIA PRIVATE LIMITED,Australia,TRANQUINI GMBH,NEW DELHI,"Wholesale of confectionery, bakery products and beverages
other than intoxicants",0.04,0.00,
38,KONSULT APP PRIVATE LIMITED,Australia,WILLIAM JAMES THOMSON,NEW DELHI,"Other information technology and computer
service activities n.e.c",1.02,0.02,
39,FIRST IMPRESSIONS RESOURCES PVT LTD,Australia,FIRST IMPRESSIONS RESOURCES PTY LTD,NEW DELHI,"Technical and vocational education for handicapped students below the level of
higher education",3.23,0.05,
40,STAYWELL HOSPITALITY MANAGEMENT PVT LTD,Australia,STAYWELL HOSPITALITY MANAGEMENT PTE LTD,NEW DELHI,Management consultancy activities,1.56,0.02,
41,MAGNETIC AUTOCONTROL PVT LTD,Australia,MAGNETIC AUTOMATION PTY LTD,CHENNAI,"Manufacture of mechanical and electro-mechanical signalling safety and traffic
control equipment for",4.67,0.07,
42,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Australia,PETTER TINNEY,MUMBAI,Computer consultancy and computer facilities management activities,0.03,0.00,
43,INFRASTRUCTURE RESEARCH AND ADVISORY SER,Australia,HASTINGS MANAGEMENT PTY LTD,MUMBAI,Market research and public opinion polling,16.00,0.25,
44,MAGNETIC AUTOCONTROL PVT LTD,Australia,MAGNETIC AUTOMATION PTY LTD,CHENNAI,Manufacture of mechanical and electro-mechanical signalling safety and traffic control equipment for,1.33,0.02,
45,RAMCO SYSTEMS LIMITED,Australia,ANINDA DASGUPTA,CHENNAI,Computer consultancy and computer facilities management activities,0.72,0.01,
46,RAMCO SYSTEMS LIMITED,Australia,ANINDA DASGUPTA,CHENNAI,"Computer consultancy and
computer facilities management activities",0.02,0.00,
47,ENTURA HYDRO TASMANIA INDIA PVT LTD,Australia,HYDRO TASMANIA CONSULTING (HOLDING) PTY,NEW DELHI,Architectural and engineering activities and related technical consultancy,3.98,0.06,
48,TGI PACKAGING PVT LTD,Australia,Sameer Kalra,CHENNAI,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases,",11.67,0.18,
49,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Australia,SWAPNIL SHAH,MUMBAI,"Computer consultancy and computer facilities
management activities",0.02,0.00,
50,FIRST IMPRESSIONS RESOURCES PVT LTD,Australia,FIRST IMPRESSIONS RESOURCES PTY LTD,NEW DELHI,"Technical and vocational education below the level of higher education except
for handicapped",2.99,0.05,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ millio n),
51,TGI PACKAGING PVT LTD,Australia,Ryina Chhabra,CHENNAI,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks,
containers, boxes, cases,",19.57,0.30,
52,ADVANTIQUE BUSINESS CONSULTING PRIVATE L,Australia,ANITA BLOSSOMS PATTURAJAN AND ISSAC KIRU,CHENNAI,Other business support service activities n.e.c.,0.24,0.00,
53,ADVANTIQUE BUSINESS CONSULTING PRIVATE L,Australia,ANITECH CONSULTING PTY LTD,CHENNAI,Other business support service activities n.e.c.,0.10,0.00,
