Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JULY 2018 TO SEPTEMBER, 2018",,,,,,,,
28,AIRIS PHARMA PVT LTD,U.S.A,MOHAN R PATALOLLA,HYDERABAD,Research and experimental development on natural,6.21,0.09,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,sciences and engineering,,,
29,AIRIS PHARMA PVT LTD,U.S.A,KISHORE KUMAR GANJI,HYDERABAD,Research and experimental development on natural sciences and engineering,6.00,0.08,
30,AIRIS PHARMA PVT LTD,U.S.A,MOHAN R PATALOLLA,HYDERABAD,Research and experimental development on natural sciences and engineering,3.33,0.05,
31,PMC YM-PHARMA PVT LTD,U.S.A,DEBTOSH CHAKRABARTI,KOLKATA,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",4.90,0.07,
32,PMC YM-PHARMA PVT LTD,U.S.A,RAJ CHAKRABARTI,KOLKATA,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",4.90,0.07,
33,PMC YM-PHARMA PVT LTD,U.S.A,PMC GROUP INTERNATIONAL INC.,KOLKATA,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,
endocrine",10.20,0.14,
34,AIRIS PHARMA PVT LTD,U.S.A,KISHORE KUMAR GANJI,HYDERABAD,"Research and experimental
development on natural sciences and engineering",11.00,0.15,
35,ELCA COSMETICS PVT LTD,U.S.A,ESTEE LAUDER INTERNATIONAL INC.,NEW DELHI,"Wholesale of toiletry, perfumery and cosmetics",172.96,2.49,
36,ELCA COSMETICS PVT LTD,U.S.A,ESTEE LAUDER  INC.,NEW DELHI,"Wholesale of toiletry, perfumery and cosmetics",1.74,0.02,
Grand Total,,,,,,"15,065.36",209.29,
