Table No.19 (b),Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18
380,Mothersense Technologies Private Limited,KARNATAKA,Bengaluru,Medical practice activities,"SAMA LIFESCIENCES, INC.",U.S.A,"23,27,468.6900",29256.0957,Received in the company
381,Jokanomy Tech Solutions Private Limited,MAHARASHTRA,Nashik,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",SALIAN VASANT N,Philippines,"23,13,886.0000",29068.3353,Received in the company
382,HDFC SECURITIES LIMITED,MAHARASHTRA,Mumbai,Security and commodity contracts brokerage,AHMED ALI HUSAIN NALWALA,UAE,"23,02,070.2620",28936.8394,"Received in the
company"
383,Merabo Labs Private Limited,MAHARASHTRA,Mumbai,Other non-specialised wholesale trade n.e.c.,"DF International Partners V, LLC",Cayman Islands,"22,53,630.0000",28089.0572,"Received in
the company"
384,CAPTRONIC SYSTEMS PRIVATE LIMITED,KERALA,Thrissur,Technical testing and analysis,Safran Data Systems Investment SAS,France,"22,16,886.0000",27631.083,"Received in the
company"
385,Appveen Technologies Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,DATANIMBUS INC,U.S.A,"21,67,368.0000",27013.8948,"Received in the
company"
386,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,RAJASTHAN,Jaipur,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",TECHNOPRO HOLDINGS INC,Japan,"21,18,781.0000",26408.3104,Received in the company
387,GENWORKS HEALTH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of scientific, medical and surgical machinery and equipment",Evolvence India Fund III Ltd,Mauritius,"20,86,200.0000",26208.0159,"Received in
the company"
388,GOLDEN RATIO FILMS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Video production,GOLDEN RATIO FILMS PTE LTD,Singapore,"20,33,974.8000",25551.9336,"Received in the
company"
389,Next Events Private Limited,DELHI,South Delhi,Organization of conventions and trade shows,RELX Overseas BV,Netherland,"20,29,955.3100",25516.3762,Received in the company
390,EDUVANZ FINANCING PRIVATE LIMITED,MAHARASHTRA,Mumbai,Financial leasing,SCI INVESTMENTS VI,Mauritius,"20,22,723.9400",25410.594,Received in the company
391,Dr. Reddy's Laboratories Limited,ANDHRA PRADESH,Krishna,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",Sameer Sudhakar Natu,Switzerland,"20,20,425.0000",25182.4094,Received in the company
392,Polygenta Technologies Limited,MAHARASHTRA,Mumbai,"Manufacture of synthetic or artificial filament yarn, whether or not textured including high tenacity yarn",Performance Recycling Limited,Mauritius,"20,03,735.0000",25172.0443,Received in the company
393,Polygenta Technologies Limited,MAHARASHTRA,Mumbai,"Manufacture of synthetic or artificial filament yarn, whether or not textured including high tenacity yarn",Performance Recycling Limited,Mauritius,"20,03,735.0000",25172.0443,Received in the company
394,"HEALTHPLIX TECHNOLOGIES
PRIVATE LIMITED",MAHARASHTRA,Mumbai,Providing software support and maintenance to the clients,Lightspeed India Partners II LLC,Mauritius,"19,57,602.0000",24399.3888,"Received in the
company"
395,CAPTRONIC SYSTEMS PRIVATE LIMITED,DELHI,New Delhi,Technical testing and analysis,Safran Data Systems Investment SAS,France,"18,47,405.0000",23025.9025,"Received in the
company"
396,HDFC SECURITIES LIMITED,TAMIL NADU,Chennai,Security and commodity contracts brokerage,AHMED ALI HUSAIN NALWALA,UAE,"18,41,656.2100",22954.2501,"Received in the
company"
397,GAMINGMONK,DELHI,South Delhi,Other amusement and recreation,M League Pte Ltd,Singapore,"18,25,387.0000",22931.5366,Received in
,ENTERTAINMENT PRIVATE LIMITED,,,activities n.e.c.,,,,,the company
398,BMOB APPS PRIVATE LIMITED,ANDHRA PRADESH,Cuddapah,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",Bindu Lekhya Arige,U.S.A,"18,00,000.0000",22612.6108,Received in the company
399,ETG AGRO PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale of cereals and pulses,ETG Pulses Bharat Limited,Mauritius,"17,88,062.0000",22462.6389,Received in the company
400,SPINNY AUTOREV PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale and retail sale of used motor vehicles,Simile Venture Partners SPF SA,Luxembourg,"17,87,568.6400",22280.1071,"Received in the
company"
401,ASSETGRO FINTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,GC INDIA INVESTMENT HOLDINGS - GROUP XI LTD,U.S.A,"17,36,082.0000",21809.637,Received in the company
402,Zeeve Deeptech Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,Other information technology and computer service activities n.e.c,Zeeve INC,U.S.A,"17,19,720.0000",21604.0884,Received in the company
403,Dr. Reddy's Laboratories Limited,TELANGANA,Hyderabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",Arun Prasad Maniganahalli Suryaprakash,Ukraine,"16,73,945.0000",21041.355,Received in the company
404,EDUVANZ FINANCING PRIVATE LIMITED,MAHARASHTRA,Mumbai,Financial leasing,SCI INVESTMENTS VI,Mauritius,"16,58,669.9800",20673.5249,Received in the company
405,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,DELHI,South Delhi,Other amusement and recreation activities n.e.c.,M League Pte Ltd,Singapore,"15,92,197.5600",20002.0799,Received in the company
406,TECHMASH SOFTWARE SOLUTIONS PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Greenman Holdings Ltd,Ireland,"15,38,787.6900",19342.4384,Received in the company
407,Milk Mantra Dairy Private Limited,ODISHA,Khorda,Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (plain or flavoured),FIL CAPITAL INVESTMENTS (MAURITIUS) II LIMITED,Mauritius,"15,23,066.5800",19133.6177,Received in the company
408,CHENGALPATTU LOGISTICS PARKS PRIVATE LIMITED,TAMIL NADU,Tiruvallur,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in
foreign trade zones",Ascendas Property Fund (India) PTE Ltd,Singapore,"14,68,000.0000",18441.8404,Received in the company
409,ROBOSOFT,KARNATAKA,Bengaluru,"Writing, modifying, testing of",TECHNOPRO HOLDINGS INC,Japan,"14,77,698.4060",18417.9102,Received in
,TECHNOLOGIES PRIVATE LIMITED,,,"computer program to meet the needs of a particular client
excluding web-page designing",,,,,the company
410,ASSETGRO FINTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,RICHIE MATHEWS,U.S.A,"14,33,277.0000",18005.6305,"Received in the
company"
411,LJM INFO TECH PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,LJM INFOTECH PTY LTD,Australia,"14,25,000.0000",17912.1363,Received in the company
412,"BUILDWEALTH TECHNOLOGIES
PRIVATE LIMITED",KARNATAKA,Bengaluru,Other business support service activities n.e.c,ALPHA WAVE INCUBATION LP,UAE,"13,91,600.0000",17482.0607,"Received in the
company"
413,Subex Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",JAIME MORE BURY,Spain,"13,77,000.0000",17308.7801,Received in the company
414,NABERLY TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,NABERLY INC,U.S.A,"13,59,000.0000",16938.4631,Received in the company
415,IX TRADING PRIVATE LIMITED,KARNATAKA,Udupi,Other non-specialised wholesale trade n.e.c.,"TOMATO AUTO CO., LTD",South Korea,"13,54,458.0000",16881.852,Received in the company
416,SIS Interlogistics India Private Limited,MAHARASHTRA,Mumbai,Sea and coastal freight water transport,SIS Internationale Speditions GmbH,Germany,"13,52,826.0000",16861.5109,Received in the company
417,Dr. Reddy's Laboratories Limited,TELANGANA,Hyderabad,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",Arun Prasad Maniganahalli Suryaprakash,Ukraine,"13,36,650.0000",16801.5838,Received in the company
418,Juicy Chemistry Private Limited,TAMIL NADU,Coimbatore,"Manufacture of cosmetics and toileteries (includes manufacture of pre-shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath salts and other bath prepa",VERLINVEST S.A,Belgium,"12,97,641.6000",16301.7025,Received in the company
