Table No.19 (b),Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18
468,VITAL RADIOLOGY SERVICES PRIVATE LIMITED,KERALA,Malappuram,Activities of independent diagnostic/pathological laboratories,VITAL HEALTHCARE GROUP UK LIMITED,United Kingdom,"4,65,230.0000",5798.5881,Received in the company
469,Subex Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the
needs of a particular client excluding web-page designing",JAIME MORE BURY,Spain,"4,50,000.0000",5653.1527,Received in the company
470,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Michael Hanratty,Ireland,"4,09,000.0000",5097.742,"Received in the
company"
471,Maxima Digital Private Limited,DELHI,North West Delhi,Activities of other wireless telecommunications activities,Maxima Communications Pte. Ltd.,Singapore,"4,02,670.0000",5061.5298,Received in the company
472,SADHAN ENTERPRISE I PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,Management consultancy activities,SADHAN PTE LIMITED,Singapore,"4,02,187.0000",5055.4585,Received in the company
473,REVCENTRIC SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,Other information service activities n.e.c.,REVCENTRIC SOLUTIONS INC,U.S.A,"4,00,144.2100",5026.8363,Received in the company
474,BMOB APPS PRIVATE LIMITED,ANDHRA PRADESH,Cuddapah,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Bindu Lekhya Arige,U.S.A,"4,00,000.0000",5025.0246,Received in the company
475,INNOBITS SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,99 BITS INC.,U.S.A,"3,79,962.0000",4773.296,Received in the company
476,CAPTRONIC SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Technical testing and analysis,Safran Data Systems Investment SAS,France,"3,69,481.0000",4605.1805,Received in the company
477,CAPTRONIC SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Technical testing and analysis,Safran Data Systems Investment SAS,France,"3,69,481.0000",4605.1805,Received in the company
478,CAPTRONIC SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Technical testing and analysis,Safran Data Systems Investment SAS,France,"3,69,481.0000",4605.1805,"Received in the
company"
479,CAPTRONIC SYSTEMS PRIVATE LIMITED,KERALA,Thrissur,Technical testing and analysis,Safran Data Systems Investment SAS,France,"3,69,481.0000",4605.1805,"Received in the
company"
480,Meiden T and D India Limited,DELHI,South West Delhi,"Manufacture of electric power distribution transformers, arc-
welding transformers, fluorescent",MEIDENSHA CORPORATION,Japan,"3,56,659.0000",4480.5506,"Received in the
company"
,,,,"ballasts, transmission and distribution voltage regulators",,,,,
481,TAPTAP MEALS PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Courier activities,INCRIN LIMITED,Cyprus,"3,40,328.7460",4277.9052,"Received in the
company"
482,LOOP REALITY PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Arjan Investments Pte Ltd,Singapore,"3,38,100.0000",4247.4021,"Received in the
company"
483,EROBERER PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Retail sale of refrigerators, washing machines and other electrical/electronic household
goods",KEAN PENG NG,Malaysia,"3,33,396.0000",4155.4201,Received in the company
484,AGDOVA TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,"Other professional, scientific and technical activities n.e.c.",M/s AGYLITI LLC,U.S.A,"3,27,698.0000",4116.7263,Received in the company
485,STIC SOFT E SOLUTIONS PRIVATE LIMITED,Telangana,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Suntech Solutions LLC,U.S.A,"3,22,800.0000",4055.1949,Received in the company
486,Sirf Coffee Ventures Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SC Ventures Pte. Ltd,Singapore,"3,15,000.0000",3957.2069,Received in the company
487,Sirf Coffee Ventures Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SC Ventures Pte. Ltd,Singapore,"3,15,000.0000",3957.2069,Received in the company
488,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Michael Hanratty,Ireland,"3,12,750.0000",3898.09,Received in the company
489,Zeeve Deeptech Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,Other information technology and computer service activities n.e.c,Zeeve INC,U.S.A,"3,03,480.0000",3812.4862,Received in the company
490,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Raigarh(MH),"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",TECHNOPRO HOLDINGS INC,Japan,"3,02,683.0000",3772.6158,Received in the company
491,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",TECHNOPRO HOLDINGS INC,Japan,"3,02,683.0000",3772.6158,Received in the company
492,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Udupi,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",TECHNOPRO INC,Japan,"3,02,683.0000",3772.6158,Received in the company
493,SKW Naturebridge Private Limited,KARNATAKA,Bengaluru,Other specialized construction activities,Kaltimex Energy (Singapore) Pte Ltd,Singapore,"3,00,000.0000",3768.7685,"Received in the
company"
494,Healthrx Ventures,BIHAR,Gaya,Other information technology and,"HEALTHRX, INC.",U.S.A,"2,99,990.0000",3768.6428,Received in
,Private Limited,,,computer service activities n.e.c,,,,,the company
495,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Thomas J Roesch,U.S.A,"2,88,750.0000",3627.4396,"Received in the
company"
496,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,James Duke,U.S.A,"2,88,750.0000",3627.4396,"Received in the
company"
497,FIRSTSOURCE SOLUTIONS LIMITED,KARNATAKA,Bengaluru,Other information service activities n.e.c.,DANIEL M HESS,U.S.A,"2,88,750.0000",3598.956,"Received in
the company"
498,GONDOR ANALYTICS PRIVATE LIMITED,DELHI,East Delhi,Publishing of operating systems and system software,SimpleDataLabs Inc,U.S.A,"2,72,050.0000",3417.6449,"Received in the
company"
499,GONDOR ANALYTICS PRIVATE LIMITED,DELHI,East Delhi,Publishing of operating systems and system software,SimpleDataLabs Inc,U.S.A,"2,71,995.5900",3416.9613,"Received in the
company"
500,FIRSTSOURCE SOLUTIONS LIMITED,KARNATAKA,Bengaluru,Other information service activities n.e.c.,Michael Hanratty,Ireland,"2,73,750.0000",3411.9973,Received in the company
501,BIZCRUM INFOTECH PRIVATE LIMITED,UTTAR PRADESH,Agra,Other non-specialised wholesale trade n.e.c.,Matrix Partners lndia lnvestments lll LLC,Mauritius,"2,69,263.5600",3382.64,Received in the company
502,CATTS APAC INDIA PRIVATE LIMITED,MAHARASHTRA,Nagpur,Legal activities,Catts B.V,Netherland,"2,69,008.0000",3352.8934,Received in the company
503,Maxima Digital Private Limited,MAHARASHTRA,Mumbai,Activities of other wireless telecommunications activities,Maxima Communications Pte. Ltd.,Singapore,"2,68,670.0000",3348.6806,Received in the company
504,BDP UGL GLOBAL LOGISTICS INDIA PVT LTD,MAHARASHTRA,Mumbai,Activities of shipping cargo agents,BDP Global Service Pte Limited,Singapore,"2,58,318.0000",3245.1358,Received in the company
505,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Bruce Pulver,U.S.A,"2,47,500.0000",3111.0552,Received in the company
506,BDP UGL GLOBAL LOGISTICS INDIA PVT LTD,MAHARASHTRA,Mumbai,Activities of shipping cargo agents,BDP Global Service Pte Limited,Singapore,"2,38,743.0000",2999.2236,Received in the company
507,BANGALORE TOWER PRIVATE LIMITED,KARNATAKA,Bengaluru,Construction of buildings carried out on own-account basis or on a fee or contract basis,Keppel Investment (Mautirius) Pte Ltd,Mauritius,"2,35,030.0340",2954.3088,Received in the company
508,METRO CABLE PRIVATE LIMITED,DELHI,South Delhi,"Architectural and engineering activities and related technical
consultancy",SARAH ANNA GLASSNER,Israel,"2,21,050.0000",2776.9542,"Received in the
company"
509,MANAK WASTE MANAGEMENT,DELHI,Central Delhi,Other information technology and computer service activities n.e.c,NEWQUEST ASIA FUND IV (SINGAPORE) PTE LTD,Singapore,"2,06,317.9400",2593.4,Received in the
,PRIVATE LIMITED,,,,,,,,company
510,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Michael Hanratty,Ireland,"2,01,750.0000",2514.5952,"Received in the
company"
511,VONKEN BRANDTECH PRIVATE LIMITED,MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,Vonken Brandtech Inc.,U.S.A,"1,99,990.0000",2513.8583,"Received in the
company"
512,Toursoft Private Limited,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",JAPAN TRAVEL KK,Japan,"1,99,640.0000",2507.9898,Received in the company
513,ZT COMMUNICATIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,PLIVO INC,U.S.A,"1,98,000.0000",2488.8442,"Received in the
company"
514,securelyshare research and development private limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",Securelyshare INC,U.S.A,"1,83,700.0000",2309.0943,Received in the company
515,GRADRIGHT EDTECH PRIVATE LIMITED,TELANGANA,Hyderabad,EDUCATIONAL SUPPORT SERVICES,GRADRIGHT INC.,U.S.A,"1,82,650.0000",2295.8959,Received in the company
516,HUVI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Getir B.V.,Netherland,"1,70,682.9300",2145.4708,Received in the company
517,KIND INTERACTIVE TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Pune,Computer consultancy and computer facilities management activities,Maxim Kasatkin,Lithuania,"1,61,700.0000",2032.5561,Received in the company
518,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Simon Hunter,United Kingdom,"1,50,000.0000",1885.488,Received in the company
519,Subex Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",JAIME MORE BURY,Spain,"1,23,000.0000",1545.1951,Received in the company
520,Altairvis Technology Solutions Private Limited,DELHI,North West Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Pyxis Voyager Inc.,U.S.A,"1,21,787.8200",1517.9533,Received in the company
521,STS.AI Software Systems Private Limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,SKYSYSTEMS.AI LLC,U.S.A,"1,14,988.5000",1433.2071,"Received in the
company"
522,ACCIOJOB PRIVATE LIMITED,UTTAR PRADESH,Bareilly,"Human resources provision and management of human resources
functions",ACCIOJOB INC,U.S.A,"1,11,788.8200",1404.3539,"Received in the
company"
523,"RLG Docking Systems Corporation Private
Limited",DELHI,North West Delhi,Manufacture of other electrical equipment,RLG DOCKING SYSTEMS CORPORATION,Taiwan,"1,09,890.0000",1381.3085,"Received in the
company"
524,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Michael Hanratty,Ireland,"1,03,130.0000",1285.4038,"Received in the
company"
525,"MVEMENT SOFTWARE SOLUTIONS INDIA
PRIVATE LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,MVEMENT INC,U.S.A,"1,00,000.0000",1256.992,"Received in the
company"
526,MVEMENT SOFTWARE SOLUTIONS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,MVEMENT INC,U.S.A,"1,00,000.0000",1256.992,Received in the company
527,"CARTENETICS SOLUTIONS PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,CARTESIAN KINETICS INC,U.S.A,99990,1256.8663,"Received in the
company"
528,DOTKONNEKT INNOVATION LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,DOTKONNEKT PTE LTD.,Singapore,99990,1256.8663,Received in the company
529,S.S. CREATIVE LEARNING INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,OTHER EDUCATIONAL SERVICES N.E.C.,SKILLSHARE INC,U.S.A,99990,1256.8663,Received in the company
530,Wanbang Starcharge India Pvt Ltd,DELHI,West Delhi,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",Starcharge Pte Ltd,Singapore,99990,1256.8663,Received in the company
531,TOGETHER INNOVATION LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Together Innovation Labs PTE Ltd,Singapore,99970,1256.6149,Received in the company
532,CAENSPA INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other specialized design activities n.e.c.,COSTRUZIONI APPARECCHIATURE ELETTRONICHE NUCLEARI CAEN S.P.A.,Italy,"1,00,000.0000",1256.2562,Received in the company
533,DIGITAL ALIGN INDIA PRIVATE LIMITED,KARNATAKA,Belagavi,Other information technology and computer service activities n.e.c,Digital Align Inc,U.S.A,"1,00,000.0000",1256.2562,Received in the company
534,Adept Renewable Technologies Private Limited,MAHARASHTRA,Mumbai,Electric power generation using other non conventional sources,Three Holdings (DIFC) Limited,UAE,99990,1256.1305,Received in the company
535,Aumnic Semiconductor Private Limited,KARNATAKA,Bengaluru,"Manufacture of integrated circuits (analog, digital or hybrid)",LeapFrog Semiconductor Inc.,U.S.A,99990,1256.1305,Received in the company
536,CANOGA PERKINS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",Canoga Perkins Corporation,U.S.A,99990,1256.1305,Received in the company
537,GO LOOP SOLUTIONS PRIVATE LIMITED,UTTAR PRADESH,Ghaziabad,Other information technology and computer service activities n.e.c,Loop Solutions Inc.,U.S.A,99990,1256.1305,"Received in the
company"
538,HUMANTIC AI INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,HUMANTIC AI INC,U.S.A,99990,1256.1305,"Received in the
company"
539,ICAD AIRPORTS PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Construction of buildings carried out on own-account basis or on a
fee or contract basis",ICAD Holding Ltd,United Kingdom,99990,1256.1305,"Received in the
company"
540,"INVENTYV SOFTWARE SERVICES PRIVATE
LIMITED",GUJARAT,Ahmedabad,Software installation,ADVANCED TAX SOLUTIONS LLC,U.S.A,99990,1256.1305,"Received in the
company"
541,MERIDIANLINK INDIA SUB PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Enhancor Holdings Member LLC,U.S.A,99990,1256.1305,Received in the company
542,TECH5 INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,TECH 5 SA,Switzerland,99990,1256.1305,"Received in the
company"
543,Transition Energy Services Private Limited,MAHARASHTRA,Mumbai,Electric power generation using other non conventional sources,Three Holdings (DIFC) Limited,UAE,99990,1256.1305,Received in the company
544,TYKEVISION TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,"TYKEVISION, INC.",U.S.A,99990,1256.1305,Received in the company
545,UXR TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,UXR Labs Inc,U.S.A,99990,1256.1305,Received in the company
546,JUSTKARE TECHNOLOGIES PRIVATE LIMITED,KERALA,Ernakulam,Other human health activities n.e.c. (including independent ambulance activities),MYKARE TECHNOLOGIES INC.,U.S.A,99900,1254.9999,Received in the company
547,TRINUS POLY TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Tiruvallur,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",WANDA INTERNATIONAL CORPORATION,U.S.A,99900,1254.9999,Received in the company
548,EGNYTE INFO INDIA PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Other information technology and computer service activities n.e.c,EGNYTE INC,U.S.A,"1,00,000.0000",1246.3917,Received in the company
549,ARCAB INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Arcab Inc.,U.S.A,99990,1246.2671,Received in the company
550,BAKER & TAYLOR IT SERVICES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Baker and Taylor LLC,U.S.A,99990,1246.2671,Received in the company
551,Cricinshots Gaming Private Limited,KARNATAKA,Udupi,Publishing of computer games for all platforms,Wega Labs Inc.,U.S.A,99990,1246.2671,Received in the company
552,Artema Labs Private Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",Artema Labs Inc,U.S.A,99980,1246.1424,Received in the company
553,CONE SOFTWARE PRIVATE LIMITED,ANDHRA PRADESH,Krishna,Other information technology and computer service activities n.e.c,"Cone Software, Inc.",U.S.A,99980,1246.1424,"Received in the
company"
554,ELIOS RECRUITMENT INDIA PRIVATE LIMITED,RAJASTHAN,Jodhpur,"Human resources provision and management of human resources
functions",Rajaratnam Arun Nathan,United Kingdom,99980,1246.1424,Brownfield
555,"SAMRIDHI INFRA DEVELOPERS PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Other data processing, hosting and related activities n.e.c.",CENTER PTY LTD,Australia,99980,1246.1424,"Received in the
company"
556,"AMPLIFAI PERFORMANCE MANAGEMENT
PRIVATE LIMITED",TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Amplifai Solutions INC,U.S.A,99000,1243.6936,Received in the company
557,"BAXTER PLANNING
SYSTEMS INDIA PRIVATE LIMITED",MAHARASHTRA,Pune,Web-page designing,"Baxter Planning Systems OpCo, LLC",U.S.A,99000,1243.6936,"Received in
the company"
558,"SERENE GREEN SHIPPING PRIVATE
LIMITED",TAMIL NADU,Chennai,"Renting and operational leasing of water-transport equipment without
operator",Splendour Marine Trading FZE,UAE,99000,1233.9278,"Received in the
company"
559,CYGENICA PRIVATE LIMITED,ODISHA,Baleswar,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING,Cygenica Limited,Ireland,98000,1231.8522,Received in the company
560,GRADRIGHT EDTECH PRIVATE LIMITED,KARNATAKA,Udupi,EDUCATIONAL SUPPORT SERVICES,GRADRIGHT INC.,U.S.A,98350,1225.8262,Received in the company
561,Dazos Private Limited,MAHARASHTRA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",DAZOS LLC,U.S.A,98000,1221.4639,Received in the company
562,WORKCO INDIA SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",WORKCO NETHERLANDS BV,Netherland,97400,1213.9855,Received in the company
563,SYENAPP INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,Computer consultancy and computer facilities management activities,Consumer Retail Tech Solutions Corporation,U.S.A,90000,1131.2928,Received in the company
564,HRSC STRATEGIES CONSULTING INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Human resources provision and management of human resources functions,HR STRATEGIES CONSULTING INC,Canada,89990,1131.1671,Received in the company
565,CLOUDSCODER PRIVATE LIMITED,DELHI,North West Delhi,Software installation,Trinax Private Limited,Singapore,89990,1130.5049,Received in the company
566,SECLORE TECHNOLOGY PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Seclore Technology Inc.,U.S.A,89344.25,1122.3926,"Received in the
company"
567,HERA SUN POWER PRIVATE LIMITED,UTTAR PRADESH,Kanpur Nagar,Electric power generation using solar energy,METKA EGN SINGAPORE HOLDINGS 3 PTE. LTD,Singapore,90000,1121.7525,"Received in the
company"
568,"SUSTAINKART MARKETPLACE INDIA
PRIVATELIMITED",TELANGANA,Hyderabad,Other retail sale in non-specialized stores,Sustainkart Marketplace Inc,U.S.A,88764.25,1115.1064,"Received in the
company"
569,"PIVOTCHAIN SOLUTION TECHNOLOGIES
PRIVATE LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,SOV Fund I Pte Limited,Singapore,88083,1097.8592,"Received in the
company"
570,GIGIN TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Human resources provision and management of human resources
functions",GIGIN PTE LTD,Singapore,85000,1059.4329,"Received in the
company"
571,RENUA TECHNOLOGIES PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Wholesale and retail sale of used motor vehicles,ARIEL ELFFASSY,Israel,83340,1047.5771,Received in the company
572,RENUA TECHNOLOGIES PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Wholesale and retail sale of used motor vehicles,ARIEL ELFFASSY,Israel,83320,1047.3257,"Received in the
company"
573,FIRSTSOURCE SOLUTIONS LIMITED,MAHARASHTRA,Mumbai,Other information service activities n.e.c.,Jonathan C Bauscher,U.S.A,82500,1036.4113,Received in the company
574,AMELIA GLOBAL SERVICES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,IPsoft EU Holding BV,Netherland,82390.22,1035.0322,Received in the company
575,Adani Ports and Special Economic Zone Limited,GOA,North Goa,Cargo handling incidental to water transport,Gelt bery Trade and Investment Ltd,Mauritius,83039.71,1035,Received in the company
576,FIRSTSOURCE SOLUTIONS LIMITED,HARYANA,Gurgaon,Other information service activities n.e.c.,Nathan M Allen,U.S.A,81250,1012.6933,Received in the company
577,STRATACENT INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Providing software support and maintenance to the clients,STRATACENT INC,U.S.A,80000,1005.0049,Received in the company
578,ABHINAV IMMIGRATION SERVICES PRIVATE LIMITED,DELHI,South Delhi,Management consultancy activities,SANJAY SHARMA,Canada,76800,964.8047,Received in the company
579,AMEEX TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",AMEEX TECHNOLOGIES CORPORATION,U.S.A,65000,810.1546,Received in the company
580,SGS Technical Services Pvt. Ltd.,UTTAR PRADESH,Lucknow,Activities of call centres,SOFTWARE GALAXY SYSTEMS LLC,U.S.A,60000,753.7537,Received in the company
581,Nanobrid Innovations Private Limited,CHANDIGARH,Chandigarh,"RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL
SCIENCES AND ENGINEERING","Incisive Element Consulting, LLC",U.S.A,59798,751.2161,"Received in the
company"
582,SPINNY AUTOREV PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale and retail sale of used motor vehicles,Simile Venture Partners SPF SA,Luxembourg,55861.52,696.2533,"Received in the
company"
583,EUREKA FORBES LIMITED,MAHARASHTRA,Mumbai,"Manufacture of domestic electric appliances such as refrigerators,
washing machines, vacuum",Lunolux Limited,Cyprus,54428.85,684.1663,"Received in the
company"
,,,,"cleaners, mixers, grinders etc.",,,,,
584,GRAINPAD PRIVATE LIMITED,DELHI,South Delhi,"Research and experimental development on social sciences and
humanities",CECROPS GLOBAL LTD,British Virginia,54220,681.1421,"Received in the
company"
585,XCALIBUR GEOPHYSICS INDIA PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Architectural and engineering activities and related technical
consultancy",Xcalibur Aviation (Australia) Pty Ltd,Australia,51000,641.0659,"Received in the
company"
586,BAM DLR KOLKATA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",Mercury India SG FDI Pte. Ltd.,Singapore,50000,628.496,"Received in the
company"
587,"DIAGONALSLASH
TECHNOLOGIES PRIVATE LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Diagonalslash Technologies INC,U.S.A,50000,628.496,"Received in
the company"
588,ONE SIGMA TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Simpl Inc.,U.S.A,50000,628.496,Received in the company
589,SKYDO TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,SKYDO INC,U.S.A,50000,628.496,"Received in the
company"
590,ONE SIGMA TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Simpl Inc.,U.S.A,49990,628.3703,Received in the company
591,SKYDO TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,SKYDO INC,U.S.A,49990,628.3703,Received in the company
592,cognity life india private limited,KARNATAKA,Bengaluru,Other publishing activities (including on-line) n.e.c.,Cognity Life INC,U.S.A,50000,628.1281,Received in the company
593,DIAGONALSLASH TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Diagonalslash Technologies INC,U.S.A,50000,628.1281,Received in the company
594,IOTAP TECHNOLOGY & SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,IOTAP Inc,U.S.A,50000,628.1281,Received in the company
595,MENSA LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,REKORD INC.,U.S.A,50000,628.1281,Received in the company
596,cognity life india private limited,KARNATAKA,Bengaluru,Other publishing activities (including on-line) n.e.c.,Cognity Life INC,U.S.A,49990,628.0025,"Received in the
company"
597,HEALTHCLOUDAILABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Arintra Inc,U.S.A,49990,628.0025,"Received in the
company"
598,"IOTAP TECHNOLOGY & SOLUTIONS PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,IOTAP Inc,U.S.A,49990,628.0025,"Received in the
company"
599,Monetize 360 Systems Private Limited,KARNATAKA,Udupi,Other information technology and computer service activities n.e.c,"Monetize360,INC",U.S.A,49990,628.0025,"Received in the
company"
600,"LES TRANSFORMATIONS LEARNING PRIVATE
LIMITED",HARYANA,Karnal,EDUCATIONAL SUPPORT SERVICES,TEACHER WORLDWIDE PTE LTD,Singapore,49900,626.8718,Received in the company
601,BAM DLR KOLKATA PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Other data processing, hosting and related activities n.e.c.",Mercury India SG FDI Pte. Ltd.,Singapore,50000,623.1958,"Received in the
company"
602,"LP LOGISTICS PLUS
CHEMICAL SCM PRIVATE LIMITED",MAHARASHTRA,Mumbai,Cargo handling incidental to water transport,MARVIS INVESTMENT LIMITED,UAE,50000,623.1958,"Received in
the company"
603,Neuoway Private Limited,DELHI,South Delhi,Activities of employment placement agencies,Specialisterne Foundation,Denmark,50000,623.1958,"Received in the
company"
604,PECKSUN RENEWABLES PRIVATE LIMITED,KARNATAKA,Bengaluru,Architectural and engineering activities and related technical consultancy,iSun Utility LLC,U.S.A,50000,623.1958,Received in the company
605,PECKSUN RENEWABLES PRIVATE LIMITED,TELANGANA,Hyderabad,Architectural and engineering activities and related technical consultancy,iSun Utility LLC,U.S.A,50000,623.1958,Received in the company
606,PIPECARE MANUFACTURING PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Manufacture of other pumps, compressors, taps and valves etc.",Pipecare Group AG,Switzerland,50000,623.1958,Received in the company
607,QNQ DESIGN AND DEVELOPMENT PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Manufacture of other medical and dental instruments n.e.c.,CM TECHNOLOGIES INC,U.S.A,50000,623.1958,Received in the company
