Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
26,ALLIANCE CHC (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Wholesale of
pharmaceutical and medical goods",Alliance Pharmaceuticals Limited,United Kingdom,0.09,0.00,Received in the Company,
27,ALLIANCE CHC (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Wholesale of pharmaceutical and
medical goods",ALLIANCE PHARMA PLC,United Kingdom,0.01,0.00,Received in the Company,
28,ALLIANZ MARINE INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Renting and operational leasing of water- transport equipment
without operator",ALLIANZ MARINE AND LOGISTICS SERVICES HOLDING LTD,UAE,0.39,0.01,Received in the company,
29,"ALMA CONNECT
SOLUTIONS PRIVATE",DELHI,South West Delhi,"Operation of other
websites that act as","Emergent Opportunities
Fund,LP",U.S.A,1.17,0.02,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,LIMITED,,,"portals to the Internet, such as media sites providing periodically
updated content",,,,,,
30,ALP FPI PARTS PRIVATE LIMITED,DELHI,Central Delhi,"Manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of
plastics]",FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,Thailand,114.37,1.56,Received in the company,
31,ALP FPI PARTS PRIVATE LIMITED,DELHI,Central Delhi,"Manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of
plastics]",FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,Thailand,72.55,0.99,Received in the company,
32,ALP FPI PARTS PRIVATE LIMITED,DELHI,Central Delhi,Manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of plastics],FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,Thailand,22.46,0.30,Received in the Company,
33,ALP FPI PARTS PRIVATE LIMITED,DELHI,Central Delhi,"Manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of
plastics]",FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,Thailand,35.63,0.48,Received in the Company,
34,Amelio Early Education Private Limited,TAMIL NADU,Chennai,Other social work activities without accommodation n.e.c.,BABILOU SAS,France,11.05,0.15,Received in the Company,
35,Amham Soft Services Private Limited,UTTAR PRADESH,Ghaziabad,"Manufacture of anti-
sprouting products, plant growth regulators",Neuroncredit Pte Ltd,Singapore,0.05,0.00,Received in the Company,
36,Amham Soft Services,UTTAR,Ghaziabad,Manufacture of anti-,Neuroncredit Pte Ltd,Singapore,0.05,0.00,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,Private Limited,PRADESH,,"sprouting products,
plant growth regulators",,,,,the Company,
37,AMMANN INDIA PRIVATE LIMITED,GUJARAT,Mahesana,"Manufacture of other machinery for mining, quarrying and
construction n.e.c.",Ammann Singapore Pte Ltd,Singapore,0.07,0.00,Received in the Company,
38,Amor Accessories India Private Limited,MAHARASHTRA,Mumbai,"Manufacture of imitation jewellery and
related articles",AMOR GMBH,Germany,0.01,0.00,Received in the Company,
39,Amor Accessories India Private Limited,MAHARASHTRA,Mumbai,"Manufacture of imitation jewellery and
related articles",AMOR GmbH,Germany,0.00,0.00,Received in the Company,
40,Amplus Poorva Private Limited,DELHI,South Delhi,Electric power generation using solar energy,Amplus Energy Solutions Pte. Ltd.,Singapore,0.10,0.00,Received in the Company,
41,AMUN RENEWABLES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Electric power generation using other non conventional
sources",EVERGREEN POWER MAURITIUS PVT LTD,Mauritius,0.13,0.00,Received in the Company,
42,Amuse Labs Private Limited,KARNATAKA,Dharwad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-
page designing",JOHN R TEMPLE,U.S.A,0.07,0.00,Received in the Company,
43,Anecure Systems India Private Limited,TAMIL NADU,Coimbatore,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-
page designing",Sudha Kanakambal Varadarajan,U.S.A,0.00,0.00,Received in the company,
