Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING OCTOBER 2016 TO DECEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
32,ZOOROPA FOODS PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,NEW DELHI,Activities of holding companies,33.46,0.50,
33,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LIMITED,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",7.40,0.11,
34,TATA SKY LTD,Mauritius,BAYTREE INVESTMENT MAURITIUS PTE LTD,MUMBAI,Other satellite telecommunications activities,108.68,1.63,
35,STAR CJ NETWORK INDIA P LTD,Mauritius,STAR HS LTD.,MUMBAI,Production of television programmes or television commercials,23.88,0.36,
36,STAR INDIA PVT LTD,Mauritius,BUZZERNINVESTMENTS LTD,MUMBAI,Radio broadcasting,"23,273.05",348.67,
37,TATA SKY LTD,Mauritius,BAYTREE OMVESTMNETS MAURITIUS PTE LTD,MUMBAI,Other satellite telecommunications activities,108.68,1.63,
38,PICTUREHOUSE MEDIA LIMITED,Mauritius,SPARROW ASIA DIVERSIFIED OPPORTUNITIES F,CHENNAI,Production of motion picture,47.50,0.71,
39,STAR CJ NETWORK INDIA P LTD,Mauritius,STAR HS LTD,MUMBAI,Production of television programmes or television commercials,18.10,0.27,
40,STAR CJ NETWORK INDIA P LTD,Mauritius,STAR HS LTD,MUMBAI,Production of television programmes or television commercials,53.80,0.79,
41,SECURITY AND INTELLIGENCE SERVICES (INDI,Mauritius,Theano Private Ltd.,PATNA,Private security activities,172.75,2.59,
42,SECURITY AND INTELLIGENCE SERVICES (INDI,Mauritius,Theano Private Limited. Mauritius,PATNA,Private security activities,121.31,1.82,
43,STAR CJ NETWORK INDIA P LTD,Mauritius,STAR HS LTD,MUMBAI,Production of television programmes or television commercials,30.17,0.44,
44,STAR CJ NETWORK INDIA P LTD,Mauritius,STAR HS LTD,MUMBAI,Production of television programmes or television commercials,40.95,0.60,
45,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,80.00,1.18,
46,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,135.56,2.00,
47,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,80.00,1.18,
48,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,89.44,1.32,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
49,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,56.11,0.83,
50,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,Axa India holdings,MUMBAI,Life insurance,147.00,2.16,
51,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LIMITED,NEW DELHI,"Manufacture of sauces, jams, jellies and marmalades",45.00,0.66,
52,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,291.11,4.29,
53,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA india Holdings,MUMBAI,Life insurance,168.89,2.49,
54,UBS INDIA PVT. LTD.,Mauritius,SWISS FINANCE (MAURITIUS) LTD,MUMBAI,Management of other investment funds,"1,630.45",24.11,
55,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS ( MAURITIUS) LIMITED,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",43.88,0.65,
56,VODAFONE INDIA LTD,Mauritius,"VODAFONE TELECOMMUNICATIONS (INDIA)
LTD",MUMBAI,Activities of other wireless telecommunications activities,"1,823.77",26.97,
57,VODAFONE INDIA LTD,Mauritius,MOBILVEST,MUMBAI,Activities of other wireless telecommunications activities,"1,881.01",27.82,
58,VODAFONE INDIA LTD,Mauritius,PRIME METALS LTD,MUMBAI,Activities of other wireless telecommunications activities,"2,453.90",36.29,
59,VODAFONE INDIA LTD,Mauritius,TRANS CRYSTAL LTD,MUMBAI,Activities of other wireless telecommunications activities,"1,640.04",24.25,
60,VODAFONE INDIA LTD,Mauritius,AL-AMIN INVESTMENTS LTD,MUMBAI,Activities of other wireless telecommunications activities,"4,777.89",70.65,
61,VODAFONE INDIA LTD,Mauritius,ASIAN TELECOMMUNICATION INVESTMENTS (MAU,MUMBAI,Activities of other wireless telecommunications activities,"5,766.33",85.27,
62,VODAFONE INDIA LTD,Mauritius,CCII (MAURITIUS) INC,MUMBAI,Activities of other wireless telecommunications activities,"2,624.65",38.81,
63,VODAFONE INDIA LTD,Mauritius,EURO PACIFIC SECURITIES LTD,MUMBAI,Activities of other wireless telecommunications activities,"23,458.96",346.89,
64,VODAFONE INDIA LTD,Mauritius,"VODAFONE
TELECOMMUNICATIONS (INDIA) LTDM",MUMBAI,Activities of other wireless telecommunications activities,"9,555.78",141.30,
65,VODAFONE INDIA LTD,Mauritius,MOBILVEST,MUMBAI,Activities of other wireless telecommunications activities,"9,855.74",145.74,
66,VODAFONE INDIA LTD,Mauritius,PRIME METALS LTD,MUMBAI,Activities of other wireless telecommunications activities,"12,857.42",190.13,
67,VODAFONE INDIA LTD,Mauritius,TRANS CRYSTAL LTD,MUMBAI,Activities of other wireless telecommunications activities,"8,593.15",127.07,
68,VODAFONE INDIA LTD,Mauritius,EURO PACIFIC SECURITIES LTD,MUMBAI,Activities of other wireless telecommunications activities,"2,768.11",40.93,
69,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,Axa India Holdings,MUMBAI,Life insurance,245.00,3.62,
70,ZOOM ENTERTAINMENT NETWORK LTD,Mauritius,CPI BALLPARK INVESTMENTS LTD,MUMBAI,Other business support service activities n.e.c.,10.00,0.15,
71,ZOOM ENTERTAINMENT NETWORK LTD,Mauritius,CPI BALLPARK INVESTMENTS LTD,MUMBAI,Other business support service activities n.e.c.,"1,190.00",17.60,
72,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,170.16,2.52,
73,VODAFONE INDIA LTD,Mauritius,AL-AMIN INVESTMENTS LTD,MUMBAI,Activities of other wireless telecommunications activities,"2,787.61",41.22,
74,VODAFONE INDIA LTD,Mauritius,ASIAN TELECOMMUNICATION INVESTMENTS (MAU,MUMBAI,Activities of other wireless telecommunications activities,"3,364.31",49.75,
75,VODAFONE INDIA LTD,Mauritius,CCII (MAURITIUS) INC,MUMBAI,Activities of other wireless telecommunications activities,"1,531.32",22.64,
