Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING JULY 2016 TO SEPTEMBER, 2016",,,,,,,,
31,MSO HOSPITALITY AND TOURISM PRIVATE LIMI,Australia,MARKUS ULRICH SCHERRER,BANGALORE,Bars and Restaurants with bars,10.00,0.15,
32,HCL TECHNOLOGIES LTD.,Australia,GUNASEKARAN SUBRAMANIAN,NEW DELHI,Providing software support and maintenance to the clients,0.00,0.00,
33,EGLO INDIA PRODUCTION PRIVATE LIMITED,Austria,EGLO LEUCHTEN GMBH,NEW DELHI,Manufacture of electric lighting equipment,150.48,2.25,
34,EGLO INDIA PRODUCTION PRIVATE LIMITED,Austria,EGLO LEUCHTEN GMBH,NEW DELHI,Manufacture of electric lighting equipment,75.62,1.13,
35,TRANQUINI INDIA PRIVATE LIMITED,Austria,TRANQUINI GmbH,NEW DELHI,"Wholesale of confectionery, bakery products and beverages other than intoxicants",0.00,0.00,
36,EGLO INDIA PRODUCTION PRIVATE LIMITED,Austria,EGLO LEUCHTEN GMBH,NEW DELHI,Manufacture of electric lighting equipment,109.70,1.64,
37,EGLO INDIA PRODUCTION PRIVATE LIMITED,Austria,EGLO LEUCHTEN GMBH,NEW DELHI,Manufacture of electric lighting equipment,76.65,1.15,
38,EGLO INDIA PRODUCTION PRIVATE LIMITED,Austria,EGLO LEUCHTEN GMBH,NEW DELHI,Manufacture of electric lighting equipment,45.31,0.68,
39,EGLO INDIA PRODUCTION PRIVATE LIMITED,Austria,EGLO LEUCHTEN GMBH,NEW DELHI,Manufacture of electric lighting equipment,67.32,1.01,
40,CEMTEC INDIA PRIVATE LIMITED,Austria,"CEMTEC CEMENT AND MINING TECHNOLOGY,GmbH",KOLKATA,Management consultancy activities,0.35,0.01,
41,CEMTEC INDIA PRIVATE LIMITED,Austria,CEMTEC CEMENT AND MINING TECHNOLOGY GmbH,KOLKATA,Management consultancy activities,80.82,1.21,
42,DOKA INDIA PVT LTD,Austria,DOKA GMBH,MUMBAI,Wholesale of other construction equipment n.e.c.,132.23,1.98,
43,SIEMENS CONVERGENCE CREATORS PVT LTD,Austria,Siemens Convergence Creators Holdings GM,MUMBAI,Providing software support and maintenance to the clients,91.90,1.38,
44,SIEMENS CONVERGENCE CREATORS PVT LTD,Austria,Siemens Convergence Creators Holdings GM,MUMBAI,Providing software support and maintenance to the clients,26.00,0.39,
45,AKRAS FLAVOURS INDIA PRIVATE LIMITED,Austria,AKRAS FLAVOURS GMBH,BANGALORE,Manufacture of synthetic flavoured concentrates and syrups,1.41,0.02,
46,AKRAS FLAVOURS INDIA PRIVATE LIMITED,Austria,MARTIN KRASNY,BANGALORE,Manufacture of synthetic flavoured concentrates and syrups,1.31,0.02,
47,LENZING MODI FIBERS INDIA PVT LTD,Austria,LENZING AKTIENGESELLSCHAFT,MUMBAI,"Weaving, manufacturing of man- made fiber and man-made mixture fabrics.",3.33,0.05,
48,STARLINGER PLASTICS MACHINERY INDIA PRIV,Austria,STARLINGER CO GESELLSCHAFT m b h,NEW DELHI,Manufacture of other plastics products n.e.c.,0.40,0.01,
49,STARLINGER PLASTICS MACHINERY INDIA PRIV,Austria,STARLINGER CO GESELLSCHAFT m b h,NEW DELHI,Manufacture of other plastics products n.e.c.,7.50,0.11,
50,TRUE AXIZ RESORT PVT LTD,Bahamas,FETHARD INTERNATIONAL LTD,PANAJI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",1.47,0.02,
51,SMART ENGINEERING AND DESIGN SOLUTIONS (,Bahamas,SMART ENGINEERING & DESIGN SOLUTIONS LTD,KOCHI,Other specialized design activities n.e.c.,3.02,0.04,
52,TRANZLEASE AUTOMOBILE MANAGEMENT SOLUTIO,Bahamas,ADEL JAAFAR MOHAMED ALI SHAIKH JAAFAR,MUMBAI,Renting and leasing of motor vehicles,11.16,0.17,
53,EYME TECHNOLOGIES PVT. LTD.,Baharain,ERNST & YOUNG FOR SYSTEMS & PROGRAMMING,KOCHI,Providing software support and maintenance to the clients,93.64,1.40,
54,MIDAL CABLES PRIVATE LIMITED,Baharain,Midal Cables Company Limited,BHUBANESHWAR,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel,",5.17,0.08,
55,M/S ADVANTA INDIA LIMITED,Argentina,ALI DANIEL EDUARDO,AHMEDABAD,Growing of other oil seeds,0.76,0.01,
56,EB SOFTWARE (INDIA) PVT LTD,Belgium,EB INTERNATIONAL SPRL,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding
web-page",26.13,0.39,
57,M/S GLOBAL TEXTILE ALLIANCE INDIA PVT LT,Belgium,HARMONY INDUSTRIES NV,NEW DELHI,Manufacture of knitted and crocheted cotton fabrics,63.03,0.94,
58,AXA ASSISTANCE INDIA PVT LTD,Belgium,INTER PARTNER ASSISTANCE SA,NEW DELHI,"Other professional, scientific and technical activities n.e.c.",37.77,0.56,
59,ANIK MILK PRODUCTS PRIVATE LIMITED,Belgium,B.S.A. INTERNATIONAL,NEW DELHI,"Manufacture of cream, butter, cheese, curd, ghee, khoya etc.",400.00,5.98,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
60,SARENS HEAVY LIFT INDIA PVT LTD,Belgium,Sarens NV,NEW DELHI,Other building completion and finishing,"1,405.65",21.00,
61,ANSA METALS & CHEMICALS PVT LTD,Belgium,Specialty Metal Resources SA,MUMBAI,"Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel,",1.40,0.02,
62,INGEVITY INDIA PVT LTD,Belgium,MEADWESTVACO EUROPE SPRL,MUMBAI,"Wholesale of industrial chemicals,",0.10,0.00,
63,HYTECH SEED INDIA PRIVATE LIMITED,Belgium,Blenar BVBA,HYDERABAD,"Research and experimental
development on natural sciences and engineering",2.98,0.04,
64,PURATOS FOOD INGREDIENTS INDIA PVT LTD,Belgium,PURATOS NV,MUMBAI,"Manufacture of flour mixes and
prepared blended flour and dough for bread, cakes, biscuits",59.50,0.89,
65,PURATOS FOOD INGREDIENTS INDIA PVT LTD,Belgium,PURATOS NV,MUMBAI,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits",20.00,0.30,
66,PURATOS FOOD INGREDIENTS INDIA PVT LTD,Belgium,PURATOS NV,MUMBAI,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits",66.26,0.99,
67,PURATOS FOOD INGREDIENTS INDIA PVT LTD,Belgium,PURATOS NV,MUMBAI,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits",90.00,1.34,
68,PURATOS FOOD INGREDIENTS INDIA PVT LTD,Belgium,PURATOS NV,MUMBAI,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits",195.12,2.90,
69,LOOP MOBILE INDIA (BPL MOBILE COMMUNICAT,Belgium,FRANCE TELECOM PARTICIPATIONS BELGIUM SA,MUMBAI,Other telecommunications activities,130.00,1.93,
70,ECOPHOS GNFC INDIA PVT. LTD.,Belgium,Ecophos S.A.,AHMEDABAD,Manufacture of organic and inorganic chemical compounds n.e.c.,0.09,0.00,
71,PURATOS FOOD INGREDIENTS INDIA PVT LTD,Belgium,PURATOS NV,MUMBAI,"Manufacture of flour mixes and
prepared blended flour and dough for bread, cakes, biscuits",60.00,0.89,
72,PURATOS FOOD INGREDIENTS INDIA PVT LTD,Belgium,PURATOS NV,MUMBAI,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits",80.00,1.19,
73,PURATOS FOOD INGREDIENTS INDIA PVT LTD,Belgium,PURATOS NV,MUMBAI,"Manufacture of flour mixes and prepared blended flour and dough
for bread, cakes, biscuits",183.00,2.72,
74,IKAROS SOLAR INDIA PVT LTD,Belgium,IKAROS SOLAR NV,MUMBAI,Architectural and engineering activities and related technical consultancy,3.70,0.06,
75,IKAROS SOLAR INDIA PVT LTD,Belgium,IKAROS SOLAR NV,MUMBAI,Architectural and engineering activities and related technical consultancy,1.15,0.02,
76,ION EXCHANGE WATERLEAU LTD,Belgium,FIFTH ELEMENT NV,MUMBAI,"Treatment of waste water or sewer by means of physical, chemical or biological processes",3.00,0.04,
77,ION EXCHANGE WATERLEAU LTD,Belgium,FIFTH ELEMENT NV,MUMBAI,"Treatment of waste water or sewer by means of physical, chemical or biological processes",2.00,0.03,
78,AZURE DIAMONDS PVT LTD,Belgium,ADITYA RAJESH GANDHI,MUMBAI,Working of diamonds and other precious and semi-precious stones including the working of industrial quality,0.09,0.00,
79,B9 BEVERAGES PRIVATE LIMITED,Belgium,NICOLOS JANSSEN & CHARLES ANTOINE JANSSE,NEW DELHI,Wholesale of intoxicants like wines and liquors,30.02,0.45,
80,ANIK MILK PRODUCTS PRIVATE LIMITED,Belgium,B.S.A. INTERNATIONAL,NEW DELHI,"Manufacture of cream, butter, cheese, curd, ghee, khoya etc.","4,920.00",73.72,
81,METALFRIO SOLUTIONS INDIA PRIVATE LIMITE,Brazil,METALFRIO SOLUTIONS SA,HYDERABAD,Manufacture of other structural metal products,7.96,0.12,
82,PEACEMAKERS LIFE NURTURE PVT LTD,Brazil,MR.GUSTAVO BORJA BESSA,MUMBAI,Other business support service activities n.e.c.,0.08,0.00,
83,PEACEMAKERS LIFE NURTURE PVT LTD,Brazil,MS.MARCIA VALERIA CABRAL,MUMBAI,Other business support service activities n.e.c.,0.02,0.00,
84,INGEVITY INDIA PVT LTD,Brazil,INGEVITY QUIMICA LTDA,MUMBAI,"Wholesale of industrial chemicals,",0.00,0.00,
85,SSJ POWER PROJECTS AND INFRASTRUCTURE PR,Bulgaria,M/s Good earth Bulgaria Eood,HYDERABAD,Electric power generation using solar energy,16.80,0.25,
86,AUDAX PROTECTIVE FABRICS PVT LTD,Canada,AVENEX COATING TECHNOLOGIES,MUMBAI,Manufacture of tarpaulin,17.16,0.26,
87,KOOL SOLUTIONS INDIA PVT LTD,Canada,SPIRE GROUP LTD,MUMBAI,Warehousing of refrigerated (cold storage),10.80,0.16,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
